[2024-07-23 22:39:31.783]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/clean_plugins all
[2024-07-23 22:39:31.823]	 Done.

[2024-08-01 23:31:06.428]	 List of discovered tpm plugins: jaclu/tmux-menus
[2024-08-01 23:31:06.440]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/install_plugins
[2024-08-01 23:31:06.467]	 Already installed "tmux-menus"
[2024-08-01 23:31:06.479]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/update_plugins all
[2024-08-01 23:31:06.491]	 Updating all plugins!
[2024-08-01 23:31:06.491]	 
[2024-08-01 23:31:06.947]	   "tmux-menus" update success
[2024-08-01 23:31:06.948]	     | Already up to date.
[2024-08-01 23:31:06.961]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/clean_plugins all
[2024-08-01 23:31:06.999]	 Done.

[2024-08-02 04:57:43.835]	 List of discovered tpm plugins: jaclu/tmux-menus
[2024-08-02 04:57:43.847]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/install_plugins
[2024-08-02 04:57:43.874]	 Already installed "tmux-menus"
[2024-08-02 04:57:43.886]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/update_plugins all
[2024-08-02 04:57:43.898]	 Updating all plugins!
[2024-08-02 04:57:43.898]	 
[2024-08-02 04:57:44.319]	   "tmux-menus" update success
[2024-08-02 04:57:44.321]	     | Already up to date.
[2024-08-02 04:57:44.352]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/clean_plugins all
[2024-08-02 04:57:44.408]	 Done.

[2024-08-19 09:05:49.306]	 List of discovered tpm plugins: jaclu/tmux-menus
[2024-08-19 09:05:49.318]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/install_plugins
[2024-08-19 09:05:49.345]	 Already installed "tmux-menus"
[2024-08-19 09:05:49.360]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/update_plugins all
[2024-08-19 09:05:49.376]	 Updating all plugins!
[2024-08-19 09:05:49.376]	 
[2024-08-19 09:05:49.842]	   "tmux-menus" update success
[2024-08-19 09:05:49.843]	     | Already up to date.
[2024-08-19 09:05:49.856]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/clean_plugins all
[2024-08-19 09:05:49.891]	 Done.

